,Unnamed: 0,ARTCLASS,ARTDESCRIP,BLOCKNBR,COMPKEY,DIRHI,DIRLO,FID,FLOW,INTKEYLO,INTRHI,INTRLO,NATIONHWYS,OBJECTID,ONEWAY,ONEWAYDIR,OWNER,PVMTCATEGO,PVMTCONDIN,PVMTCOND_1,SEGDIR,SEGLENGTH,SHAPE,SHAPE_Leng,SLOPE_PCT,SPEEDLIMIT,STATUS,STNAME_ORD,STREETTYPE,SURFACETYP,SURFACET_1,SURFACEWID,Shape__Length,TRANCLASS,TRANDESCRI,UNITDESC,UNITIDSORT,XSTRHI,XSTRLO
18661,18661,1,Principal Arterial,0,20481,W,E,18662, ,30372,1ST AVE S AND S JACKSON ST,ALASKAN E RDWY WAY S AND S JACKSON ST,Y,19450,N, , ,ART,62,0,E,309.0,"{'paths': [[[-13618318.8408526, 6040434.28587228], [-13618310.2153912, 6040434.26413716], [-13618179.5182793, 6040433.93625957]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",308.784183583693,3,25,OUTSVC,S JACKSON ST,Downtown,AC/PCC, ,42,139.323011897372,0,NOT DESIGNATED,S JACKSON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,162850006,1ST AVE S,ALASKAN E RDWY WAY S
18665,18665,0,Not Designated,700,20601,W,E,18666, ,30514,CANTON AL S AND S KING ST,7TH AVE S AND S KING ST,N,19454,N, , ,NON-ART,64,0,E,163.0,"{'paths': [[[-13617017.9795813, 6040292.79077961], [-13616944.8450086, 6040292.41430602]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",162.094321085426,5,20,INSVC,S KING ST,Downtown Neighborhood Access,PCC, ,42,73.13554165047309,0,NOT DESIGNATED,S KING ST BETWEEN 7TH AVE S AND CANTON AL S,163550070,CANTON AL S,7TH AVE S
18669,18669,2,Minor Arterial,300,20731,W,E,18670,F,30503,4TH AVE S AND S MAIN ST,2ND AV ET S AND S MAIN ST,N,19458,Y,E, ,ART,72,0,E,340.0,"{'paths': [[[-13617751.4297709, 6040563.77490937], [-13617635.5050398, 6040569.35494358], [-13617598.1031856, 6040571.15489706]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",340.20630142427996,4,25,INSVC,S MAIN ST,Downtown Neighborhood,PCC, ,42,153.50409107003298,0,NOT DESIGNATED,S MAIN ST BETWEEN 2ND AV ET S AND 4TH AVE S,165000030,4TH AVE S,2ND AV ET S
18694,18694,0,Not Designated,1200,21537,W,E,18695, ,30436,RAINIER AVE S AND S WELLER ST,12TH AVE S AND S WELLER ST,N,19483,N, , ,NON-ART,65,0,E,1102.0,"{'paths': [[[-13616291.3945197, 6040152.42696077], [-13616078.6702604, 6040151.86985684], [-13615871.4477017, 6040151.32228137], [-13615794.1552743, 6040151.11678997]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",1102.08062490113,4,20,INSVC,S WELLER ST,Downtown Neighborhood Access,PCC, ,40,497.24097152791296,0,NOT DESIGNATED,S WELLER ST BETWEEN 12TH AVE S AND RAINIER AVE S,171600120,RAINIER AVE S,12TH AVE S
18785,18785,0,Not Designated,1100,334637,S,N,18786, ,334635,HIGHLAND DR AND WESTLAKE EAST RDWY AVE N,WESTLAKE EAST RDWY AVE N AND WESTLAKE SHORE RDWY AVE N,N,19574,N, , ,NON-ART,66,0,N,424.0,"{'paths': [[[-13618871.8746368, 6045286.45264661], [-13618887.9254976, 6045323.9886377], [-13618896.7671039, 6045347.64111124], [-13618903.0309955, 6045370.11059268], [-13618907.1164472, 6045393.96145669], [-13618909.8570655, 6045416.9121402], [-13618910.5424012, 6045436.57237163], [-13618911.2651569, 6045453.69758525], [-13618911.3644057, 6045472.17327082]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",424.07645450145304,0,20,INSVC,WESTLAKE EAST RDWY AVE N,Urban Village Neighborhood Access,AC/PCC, ,44,192.001593906703,0,NOT DESIGNATED,WESTLAKE EAST RDWY AVE N BETWEEN WESTLAKE SHORE RDWY AVE N AND HIGHLAND DR,104450110,HIGHLAND DR,WESTLAKE SHORE RDWY AVE N
18818,18818,0,Not Designated,0,9638,SW,NE,18819, ,29693,CEDAR ST AND WESTERN AVE,CEDAR ST AND ELLIOTT AVE,N,18010,N, , ,NON-ART,34,0,NE,322.0,"{'paths': [[[-13620199.7598196, 6042954.78390479], [-13620103.9886396, 6043064.57546887]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.24490766686796,11,20,INSVC,CEDAR ST,Downtown Neighborhood Access,AC, ,36,145.69250651301002,3,MINOR TRANSIT ROUTE,CEDAR ST BETWEEN ELLIOTT AVE AND WESTERN AVE,058750006,WESTERN AVE,ELLIOTT AVE
18825,18825,1,Principal Arterial,600,1030,S,N,18826,F,28919,1ST AVE N AND ROY ST,1ST AVE N AND MERCER ST,N,19606,Y,N, ,ART,61,0,N,319.0,"{'paths': [[[-13620541.260444, 6044623.74521617], [-13620540.7963211, 6044709.59842694], [-13620540.4797555, 6044768.10736152]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",318.822528330658,2,30,INSVC,1ST AVE N,Urban Village Main,AC/PCC, ,32,144.364256253661,2,MAJOR TRANSIT ROUTE,1ST AVE N BETWEEN MERCER ST AND ROY ST,000150060,ROY ST,MERCER ST
18840,18840,2,Minor Arterial,500,10075,S,N,18841, ,28775,DEXTER AVE N AND MERCER ST,DEXTER AVE N AND REPUBLICAN ST,N,18027,N, , ,ART,65,0,N,484.0,"{'paths': [[[-13619089.3587315, 6044400.03145889], [-13619088.0600452, 6044619.03475312]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",483.678717314218,6,25,INSVC,DEXTER AVE N,Urban Village Neighborhood,AC/PCC, ,28,219.007144799445,2,MAJOR TRANSIT ROUTE,DEXTER AVE N BETWEEN REPUBLICAN ST AND MERCER ST,063900050,MERCER ST,REPUBLICAN ST
18844,18844,1,Principal Arterial,400,10165,S,N,18845, ,29138,EASTLAKE AVE E AND REPUBLICAN ST,EASTLAKE AVE E AND HARRISON ST,Y,18031,N, , ,ART,11,0,N,420.0,"{'paths': [[[-13617618.6017798, 6044193.86860176], [-13617618.6113249, 6044196.1323578], [-13617619.3971457, 6044384.04577848]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",420.02190992813905,1,25,INSVC,EASTLAKE AVE E,Urban Village Main,AC/PCC, ,55,190.178839915771,2,MAJOR TRANSIT ROUTE,EASTLAKE AVE E BETWEEN HARRISON ST AND REPUBLICAN ST,065100040,REPUBLICAN ST,HARRISON ST
18870,18870,0,Not Designated,1100,10770,W,E,18871, ,28777,HARRISON ST AND MINOR AVE N,FAIRVIEW AVE N AND HARRISON ST,N,18057,N, , ,NON-ART,28,0,E,316.0,"{'paths': [[[-13618189.1123419, 6044197.88510734], [-13618046.508579, 6044193.54164339]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",316.062668012522,2,20,INSVC,HARRISON ST,Urban Village Neighborhood Access,AC, ,40,142.66989471545202,0,NOT DESIGNATED,HARRISON ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,071800115,MINOR AVE N,FAIRVIEW AVE N
18881,18881,0,Not Designated,400,11062,SW,NE,18882, ,30484,5TH AVE AND JEFFERSON ST,4TH AVE AND JEFFERSON ST,N,18068,N, , ,NON-ART,0,0,NE,322.0,"{'paths': [[[-13617673.8329023, 6040981.23130881], [-13617550.2134765, 6041057.95105757]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.159270368295,14,20,INSVC,JEFFERSON ST,Downtown Neighborhood Access,AC, ,0,145.491175975968,0,NOT DESIGNATED,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,078900040,5TH AVE,4TH AVE
18882,18882,0,Not Designated,1200,11083,W,E,18883, ,29150,JOHN ST AND PONTIUS E AVE N,JOHN ST AND MINOR AVE N,N,18069,N, , ,NON-ART,0,0,E,318.0,"{'paths': [[[-13618045.0153475, 6043811.7817137], [-13617963.7372691, 6043812.10001159]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",180.068696680779,0,20,INSVC,JOHN ST,Urban Village Neighborhood Access,AC/PCC, ,0,81.27870165354891,0,NOT DESIGNATED,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,079000120,PONTIUS E AVE N,MINOR AVE N
18931,18931,0,Not Designated,2400,12030,N,S,18932, ,31364,OCCIDENTAL AVE S AND S LANDER ST,OCCIDENTAL AVE S AND S STACY ST,N,18118,N, , ,NON-ART,52,0,S,761.0,"{'paths': [[[-13618076.9897699, 6037577.08600798], [-13618077.2508112, 6037232.76650464]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",761.057173077756,0,20,INSVC,OCCIDENTAL AVE S,Minor Industrial Access,PCC, ,36,344.31960229237,0,NOT DESIGNATED,OCCIDENTAL AVE S BETWEEN S STACY ST AND S LANDER ST,089200240,S LANDER ST,S STACY ST
18932,18932,1,Principal Arterial,1100,12049,SW,NE,18933, ,29865,MINOR AVE AND OLIVE WAY,BOREN AVE AND OLIVE WAY,Y,18119,N, , ,ART,53,0,NE,322.0,"{'paths': [[[-13617794.5380964, 6043116.1544686], [-13617694.6127899, 6043178.14644078], [-13617670.9804754, 6043192.80711615]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.884947402821,2,25,INSVC,OLIVE WAY,Downtown,AC/PCC, ,45,145.40328090194902,1,PRINCIPAL TRANSIT ROUTE,OLIVE WAY BETWEEN BOREN AVE AND MINOR AVE,089500110,MINOR AVE,BOREN AVE
18944,18944,1,Principal Arterial,500,12298,S,N,18945,T,28642,MERCER ST AND QUEEN ANNE AVE N,QUEEN ANNE AVE N AND REPUBLICAN ST,N,18131,Y,S, ,ART,70,0,N,476.0,"{'paths': [[[-13620687.7500325, 6044408.79541076], [-13620687.7252047, 6044413.3232375], [-13620686.5656037, 6044624.52600309]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",476.44921031145697,2,25,INSVC,QUEEN ANNE AVE N,Urban Village Main,AC/PCC, ,42,215.733843745661,2,MAJOR TRANSIT ROUTE,QUEEN ANNE AVE N BETWEEN REPUBLICAN ST AND MERCER ST,093150050,MERCER ST,REPUBLICAN ST
18949,18949,1,Principal Arterial,4800,12385,N,S,18950, ,33562,RAINIER AVE S AND S EDMUNDS ST,RAINIER AVE S AND S ANGELINE ST,Y,18136,N, , ,ART,63,0,S,322.0,"{'paths': [[[-13612811.2015696, 6033875.74803371], [-13612803.0152706, 6033859.21489036], [-13612795.0539973, 6033842.57155996], [-13612787.3193077, 6033825.82114066], [-13612779.8124157, 6033808.96685291], [-13612772.5349903, 6033792.01156109], [-13612765.4882474, 6033774.95860133], [-13612757.9348002, 6033756.37383884], [-13612753.2645927, 6033742.45455237]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.770718372783,4,25,INSVC,RAINIER AVE S,Urban Village Main,AC/PCC, ,52,145.44441184821198,2,MAJOR TRANSIT ROUTE,RAINIER AVE S BETWEEN S ANGELINE ST AND S EDMUNDS ST,093450480,S EDMUNDS ST,S ANGELINE ST
18958,18958,0,Not Designated,100,12554,W,E,18959, ,28920,REPUBLICAN ST AND WARREN AVE N,1ST AVE N AND REPUBLICAN ST,N,18145,N, , ,NON-ART,0,0,E,323.0,"{'paths': [[[-13620542.4529289, 6044407.92171069], [-13620397.1155656, 6044407.13015981]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.96974325671,1,20,INSVC,REPUBLICAN ST,Urban Village Neighborhood Access,AC/PCC, ,0,145.339518729582,0,NOT DESIGNATED,REPUBLICAN ST BETWEEN 1ST AVE N AND WARREN AVE N,094550010,WARREN AVE N,1ST AVE N
18960,18960,1,Principal Arterial,4200,12595,S,N,18961,T,27093,ROOSEVELT WAY NE AND NE 42ND N ST,ROOSEVELT WAY NE AND NE 42ND S ST,Y,18147,Y,S, ,ART,66,0,N,313.0,"{'paths': [[[-13616355.4479635, 6050065.36353581], [-13616352.9981946, 6050206.681442]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",311.945587762625,4,30,INSVC,ROOSEVELT WAY NE,Urban Village Main,AC/PCC, ,40,141.33913816444098,2,MAJOR TRANSIT ROUTE,ROOSEVELT WAY NE BETWEEN NE 42ND S ST AND NE 42ND N ST,094850415,NE 42ND N ST,NE 42ND S ST
18974,18974,2,Minor Arterial,800,12867,SW,NE,18975,F,29926,9TH AVE AND SPRING ST,8TH AVE AND SPRING ST,N,18161,Y,NE, ,ART,30,0,NE,322.0,"{'paths': [[[-13617615.7477634, 6041994.67804591], [-13617492.1364202, 6042071.33803932]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.03667233840696,6,25,INSVC,SPRING ST,Urban Village Neighborhood,AC/PCC, ,40,145.452805992107,0,NOT DESIGNATED,SPRING ST BETWEEN 8TH AVE AND 9TH AVE,097350080,9TH AVE,8TH AVE
18986,18986,0,Not Designated,100,13132,W,E,18987, ,28929,2ND AVE N AND THOMAS ST,THOMAS ST AND WARREN AVE N,N,18173,N, , ,NON-ART,78,0,E,323.0,"{'paths': [[[-13620399.266554, 6044021.37456544], [-13620253.690293, 6044020.61190765]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.51313157101396,7,20,INSVC,THOMAS ST,Urban Village Neighborhood Access,PCC, ,36,145.578258659471,0,NOT DESIGNATED,THOMAS ST BETWEEN WARREN AVE N AND 2ND AVE N,100550015,2ND AVE N,WARREN AVE N
18992,18992,0,Not Designated,1500,13236,N,S,18993, ,30387,UTAH AVE S AND S MASSACHUSETTS ST,UTAH AVE S AND S ATLANTIC ST,N,18179,N, , ,NON-ART,60,0,S,760.0,"{'paths': [[[-13618283.2068632, 6038966.04616135], [-13618283.2281925, 6038875.4065468], [-13618283.2874632, 6038622.122381]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",760.060164193971,0,20,INSVC,UTAH AVE S,Minor Industrial Access,AC, ,36,343.92378979175004,0,NOT DESIGNATED,UTAH AVE S BETWEEN S ATLANTIC ST AND S MASSACHUSETTS ST,101450150,S MASSACHUSETTS ST,S ATLANTIC ST
18995,18995,2,Minor Arterial,100,13310,SW,NE,18996,F,29582,2ND AVE AND VIRGINIA ST,1ST AVE AND VIRGINIA ST,N,18182,Y,NE, ,ART,80,0,NE,322.0,"{'paths': [[[-13619117.3253006, 6042392.63736045], [-13619021.6036748, 6042502.42312933]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.183987127999,5,25,INSVC,VIRGINIA ST,Downtown Neighborhood,AC/AC, ,42,145.655568725399,3,MINOR TRANSIT ROUTE,VIRGINIA ST BETWEEN 1ST AVE AND 2ND AVE,102500010,2ND AVE,1ST AVE
19005,19005,2,Minor Arterial,1200,13501,SE,NW,19006, ,29618,UNIVERSITY ST AND WESTERN AVE,SENECA ST AND WESTERN AVE,N,18192,N, , ,ART,17,0,NW,306.0,"{'paths': [[[-13618676.6595547, 6041499.17363985], [-13618677.8397872, 6041501.09685887], [-13618749.3388153, 6041616.96255512]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.035766600995,1,25,INSVC,WESTERN AVE,Downtown Neighborhood,AC/PCC, ,46,138.407027852879,3,MINOR TRANSIT ROUTE,WESTERN AVE BETWEEN SENECA ST AND UNIVERSITY ST,104200120,UNIVERSITY ST,SENECA ST
19016,19016,3,Collector Arterial,7200,13712,SE,NW,19017, ,24576,WOODLAWN AVE NE AND NE 73RD ST,WOODLAWN AVE NE AND NE 72ND ST,N,18203,N, , ,ART,38,0,NW,268.0,"{'paths': [[[-13617121.4318169, 6053867.08499512], [-13617171.6089698, 6053973.24096012], [-13617173.386183, 6053977.00111935]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",268.359802975439,2,30,INSVC,WOODLAWN AVE NE,Urban Village Neighborhood,AC/PCC, ,36,121.576356757907,3,MINOR TRANSIT ROUTE,WOODLAWN AVE NE BETWEEN NE 72ND ST AND NE 73RD ST,106150720,NE 73RD ST,NE 72ND ST
19071,19071,0,Not Designated,700,14883,W,E,19072, ,29754,HARVARD AVE AND E UNION ST,BOYLSTON AVE AND E UNION ST,N,18258,N, , ,NON-ART,26,0,E,332.0,"{'paths': [[[-13616983.0628641, 6042709.43534531], [-13616958.9124707, 6042709.45108875], [-13616833.1572533, 6042709.46267617]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",332.15065153635203,1,20,INSVC,E UNION ST,Urban Village Neighborhood Access,AC, ,28,149.905616459559,0,NOT DESIGNATED,E UNION ST BETWEEN BOYLSTON AVE AND HARVARD AVE,116500070,HARVARD AVE,BOYLSTON AVE
19143,19143,0,Not Designated,2800,16528,W,E,19144, ,36061,30TH AVE NE AND NE 127TH ST,28TH AVE NE AND NE 127TH ST,N,18330,N, , ,NON-ART,74,0,E,341.0,"{'paths': [[[-13614120.0068212, 6060580.8689391], [-13613965.8541262, 6060579.34784823]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",340.867929842757,1,20,INSVC,NE 127TH ST,Urban Village Neighborhood Access,ST, ,23,154.160199446036,0,NOT DESIGNATED,NE 127TH ST BETWEEN 28TH AVE NE AND 30TH AVE NE,129950280,30TH AVE NE,28TH AVE NE
19156,19156,3,Collector Arterial,1000,16809,W,E,19157, ,27073,11TH AVE NE AND NE 43RD ST,ROOSEVELT WAY NE AND NE 43RD N ST,N,18343,N, , ,ART,43,0,E,277.0,"{'paths': [[[-13616348.6999525, 6050451.43473934], [-13616223.5148903, 6050449.17723229]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",277.171557472636,1,30,INSVC,NE 43RD ST,Urban Village Neighborhood,AC/PCC, ,42,125.205415795147,0,NOT DESIGNATED,NE 43RD ST BETWEEN ROOSEVELT N WAY NE AND 11TH AVE NE,132500100,11TH AVE NE,ROOSEVELT N WAY NE
19323,19323,1,Principal Arterial,600,20490,W,E,19324, ,30512,7TH AVE S AND S JACKSON ST,MAYNARD AVE S AND S JACKSON ST,Y,18512,N, , ,ART,87,0,E,322.0,"{'paths': [[[-13617162.8570633, 6040431.61325087], [-13617017.567878, 6040431.25653003]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.00819575692003,5,25,INSVC,S JACKSON ST,Downtown,PCC, ,60,145.289623188888,2,MAJOR TRANSIT ROUTE,S JACKSON ST BETWEEN MAYNARD AVE S AND 7TH AVE S,162850065,7TH AVE S,MAYNARD AVE S
19328,19328,2,Minor Arterial,150,20596,W,E,19329, ,30521,2ND AVE S AND S KING ST,OCCIDENTAL AVE S AND S KING E ST,N,18517,N, , ,ART,38,0,E,322.0,"{'paths': [[[-13618034.535912, 6040282.86163697], [-13617889.2850051, 6040282.52496142]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.928825869787,0,25,INSVC,S KING ST,Downtown Neighborhood,AC/PCC, ,48,145.251297065056,0,NOT DESIGNATED,S KING ST BETWEEN OCCIDENTAL E AVE S AND 2ND AVE S,163550015,2ND AVE S,OCCIDENTAL E AVE S
19351,19351,0,Not Designated,3900,21073,W,E,19352, ,33581,S PEARL ST AND DEAD END 3,39TH AVE S AND S PEARL ST,N,18540,N, , ,NON-ART,75,0,E,431.0,"{'paths': [[[-13612534.3443642, 6033338.68306457], [-13612520.8197215, 6033338.63119141], [-13612381.9652155, 6033338.09733213], [-13612339.9868462, 6033337.93548493]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",431.117211424767,9,20,INSVC,S PEARL ST,Urban Village Neighborhood Access,ST, ,21,194.35895570768997,0,NOT DESIGNATED,S PEARL ST BETWEEN 39TH AVE S AND DEAD END 3,167550390,DEAD END 3,39TH AVE S
19363,19363,0,Not Designated,100,21335,W,E,19364, ,31365,OCCIDENTAL AVE S AND S STACY ST,1ST AVE S AND S STACY ST,N,18552,N, , ,NON-ART,0,0,E,230.0,"{'paths': [[[-13618180.8291967, 6037576.83253567], [-13618135.4276473, 6037576.94755153], [-13618076.9897699, 6037577.08600798]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",230.21847435337298,0,20,INSVC,S STACY ST,Minor Industrial Access,AC, ,39,103.839736512639,0,NOT DESIGNATED,S STACY ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,169900010,OCCIDENTAL AVE S,1ST AVE S
19368,19368,0,Not Designated,100,21438,W,E,19369, ,31350,OCCIDENTAL AVE S AND S WALKER ST,1ST AVE S AND S WALKER ST,N,18557,N, , ,NON-ART,97,0,E,230.0,"{'paths': [[[-13618180.7128687, 6037920.7092139], [-13618076.9236249, 6037921.2032937]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",230.099913241045,0,20,INSVC,S WALKER ST,Minor Industrial Access,PCC, ,30,103.79041980244699,0,NOT DESIGNATED,S WALKER ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,171100010,OCCIDENTAL AVE S,1ST AVE S
19563,19563,1,Principal Arterial,4700,1410,S,N,19564,F,25801,11TH AVE NE AND NE 50TH ST,11TH AVE NE AND NE 47TH ST,Y,18752,Y,N, ,ART,44,0,N,662.0,"{'paths': [[[-13616194.7491648, 6050990.5213594], [-13616192.0742749, 6051290.67228738]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",662.403451130919,2,30,INSVC,11TH AVE NE,Urban Village Main,AC/PCC, ,40,300.162846808641,2,MAJOR TRANSIT ROUTE,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,002300470,NE 50TH ST,NE 47TH ST
19587,19587,2,Minor Arterial,1500,1997,S,N,19588, ,30136,15TH AVE AND E PINE ST,15TH AVE AND E MADISON ST,N,18776,N, , ,ART,66,0,N,287.0,"{'paths': [[[-13615795.4358679, 6042959.15460006], [-13615794.8561961, 6043089.28963166]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",287.456290542225,3,25,INSVC,15TH AVE,Urban Village Neighborhood,AC/PCC, ,40,130.136322636974,3,MINOR TRANSIT ROUTE,15TH AVE BETWEEN E MADISON ST AND E PINE ST,005450152,E PINE ST,E MADISON ST
19619,19619,0,Not Designated,400,1324,N,S,19620, ,30426,10TH AVE S AND S KING ST,10TH AVE S AND S JACKSON ST,N,19620,N, , ,NON-ART,100,0,S,305.0,"{'paths': [[[-13616559.8810953, 6040430.50555192], [-13616560.4384396, 6040292.47078178]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",304.99946395041803,2,20,INSVC,10TH AVE S,Downtown Neighborhood Access,AC/AC, ,47,138.035895326278,0,NOT DESIGNATED,10TH AVE S BETWEEN S JACKSON ST AND S KING ST,001650040,S KING ST,S JACKSON ST
19628,19628,2,Minor Arterial,600,1531,S,N,19629, ,29802,12TH AVE AND E CHERRY ST,12TH AVE AND E JAMES CT,N,19629,N, , ,ART,62,0,N,230.0,"{'paths': [[[-13616241.6722695, 6041791.41031208], [-13616241.6555128, 6041895.72186981]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",230.44378771756197,1,25,INSVC,12TH AVE,Urban Village Neighborhood,AC/PCC, ,52,104.311559070981,2,MAJOR TRANSIT ROUTE,12TH AVE BETWEEN E JAMES CT AND E CHERRY ST,003200060,E CHERRY ST,E JAMES CT
19636,19636,0,Not Designated,500,1731,S,N,19637, ,29806,13TH AVE AND E JAMES CT,13TH AVE AND E BARCLAY CT,N,19637,N, , ,NON-ART,37,0,N,215.0,"{'paths': [[[-13616095.3962341, 6041693.1992332], [-13616094.95425, 6041790.53107073]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",215.029034462655,3,20,INSVC,13TH AVE,Urban Village Neighborhood Access,PCC, ,40,97.3328410551017,0,NOT DESIGNATED,13TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,003850055,E JAMES CT,E BARCLAY CT
19643,19643,3,Collector Arterial,1500,1852,S,N,19644, ,29750,14TH AVE AND E PINE ST,14TH AVE AND E PIKE ST,N,19644,N, , ,ART,54,0,N,423.0,"{'paths': [[[-13615957.1356896, 6042896.92629059], [-13615959.1779326, 6043088.45847866]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",423.09846730994906,2,25,INSVC,14TH AVE,Urban Village Neighborhood,AC/PCC, ,33,191.543075632219,0,NOT DESIGNATED,14TH AVE BETWEEN E PIKE ST AND E PINE ST,004450150,E PINE ST,E PIKE ST
19686,19686,1,Principal Arterial,2100,2762,SE,NW,19687,T,29561,2ND AVE AND BLANCHARD ST,2ND AVE AND LENORA ST,Y,19687,Y,SE, ,ART,80,0,NW,426.0,"{'paths': [[[-13619166.3180892, 6042629.3742128], [-13619311.1217974, 6042756.41147622]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.25243061324,3,25,INSVC,2ND AVE,Downtown,AC/PCC, ,51,192.63068342062002,2,MAJOR TRANSIT ROUTE,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,009550210,BLANCHARD ST,LENORA ST
19823,19823,0,Not Designated,4600,5776,N,S,19824, ,31914,37TH AVE SW AND SW ALASKA ST,37TH AVE SW AND SW SNOQUALMIE ST,N,19824,N, , ,NON-ART,88,0,S,348.0,"{'paths': [[[-13623142.6470091, 6034300.0705371], [-13623142.5331475, 6034142.56305484]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",348.270556502354,4,20,INSVC,37TH AVE SW,Urban Village Neighborhood Access,PCC, ,32,157.50752341558902,0,NOT DESIGNATED,37TH AVE SW BETWEEN SW SNOQUALMIE ST AND SW ALASKA ST,029050460,SW ALASKA ST,SW SNOQUALMIE ST
19834,19834,0,Not Designated,4800,6020,N,S,19835, ,33569,39TH AVE S AND S FERDINAND ST,39TH AVE S AND S EDMUNDS ST,N,19835,N, , ,NON-ART,37,0,S,294.0,"{'paths': [[[-13612533.270485, 6033741.60841849], [-13612533.3900518, 6033608.59271186]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",294.134519835373,4,20,INSVC,39TH AVE S,Urban Village Neighborhood Access,PCC, ,25,133.015760363719,0,NOT DESIGNATED,39TH AVE S BETWEEN S EDMUNDS ST AND S FERDINAND ST,030650485,S FERDINAND ST,S EDMUNDS ST
19919,19919,1,Principal Arterial,1200,7879,SE,NW,19920,F,29928,6TH AVE AND UNIVERSITY ST,6TH AVE AND SENECA ST,N,19920,Y,NW, ,ART,30,0,NW,306.0,"{'paths': [[[-13617935.4315699, 6041959.25575132], [-13618007.2139049, 6042077.58718155]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.001347323477,5,25,INSVC,6TH AVE,Downtown,AC/PCC, ,44,138.401701566644,3,MINOR TRANSIT ROUTE,6TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,044350120,UNIVERSITY ST,SENECA ST
19931,19931,1,Principal Arterial,600,8152,SE,NW,19932,F,29962,7TH AVE AND CHERRY ST,7TH AVE AND JAMES ST,N,19932,Y,NW, ,ART,51,0,NW,307.0,"{'paths': [[[-13617376.0457223, 6041328.80591989], [-13617448.8419495, 6041446.85485553]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.666687723659,4,25,INSVC,7TH AVE,Urban Village Main,AC/PCC, ,38,138.689732495839,0,NOT DESIGNATED,7TH AVE BETWEEN JAMES ST AND CHERRY ST,047050060,CHERRY ST,JAMES ST
